commit,model,mode,split_mode,cpu_moe_layers,cache_slots,MTP_n,context,parallel,K_type,V_type,batch,ubatch,pp_tokens,pp_tps,tg_tokens,tg_tps,GPU0_peak_MiB,GPU1_peak_MiB,RAM_peak_MiB,notes
d927e7dc,IQ4_XS,bench,layer,0,0,off,32768,1,q4_0,q4_0,2048,512,2048,1758,512,79.3,,,,control codacus
d927e7dc,IQ4_XS,bench,layer,0,0,off,32768,1,q8_0,q4_0,2048,512,2048,1752,512,79.4,,,,codacus layer q8q4
925e1179,IQ4_XS,bench,layer,0,0,off,32768,1,q4_0,q4_0,2048,512,2048,1861,512,79.9,,,,mainline layer
925e1179,IQ4_XS,bench,layer,0,0,off,32768,1,q8_0,q4_0,2048,512,2048,1865,512,80.0,,,,mainline layer q8q4
925e1179,IQ4_XS,bench,layer,0,0,off,32768,1,q8_0,q8_0,2048,512,2048,1861,512,80.1,,,,
d927e7dc,IQ4_XS,bench,tensor,0,0,off,32768,1,q8_0,q4_0,2048,512,2048,1770,512,95.0,,,,codacus tensor
925e1179,IQ4_XS,bench,tensor,0,0,off,32768,1,q8_0,q4_0,2048,512,2048,1812,512,96.0,,,,mainline tensor BEST TG
925e1179,IQ4_XS,bench,tensor,0,0,off,32768,1,q8_0,q4_0,2048,128,2048,1400,512,96,,,,ub sweep
925e1179,IQ4_XS,bench,tensor,0,0,off,32768,1,q8_0,q4_0,2048,256,2048,1425,512,96,,,,ub sweep
925e1179,IQ4_XS,bench,tensor,0,0,off,32768,1,q8_0,q4_0,2048,512,2048,1805,512,96,,,,ub sweep
925e1179,IQ4_XS,bench,tensor,0,0,off,32768,1,q8_0,q4_0,4096,1024,2048,2154,512,95.6,8718,8714,,BEST PP ub=1024
925e1179,IQ4_XS,bench,layer,0,0,off,32768,1,q8_0,q4_0,2048,128,2048,939,512,79.7,,,,prod-like ub=128 layer control
925e1179,IQ4_XS,server,tensor,0,0,off,32768,1,q8_0,q4_0,2048,1024,384,0,384,89,,,,e2e chat TG
925e1179,IQ4_XS,server,tensor,0,0,ngram4,32768,1,q8_0,q4_0,2048,1024,384,0,384,88,,,,ngram-simple no gain
925e1179,IQ4_XS,server,tensor,0,0,ngram4,32768,1,q8_0,q4_0,2048,1024,384,0,384,78,,,,ngram-cache worse
