context,pp_toks,tg_toks,pp_ms,tg_ms,cpu_pct,ram_mb
10,72.3,13.52,138.308,9465.759,0,0
3213,446.19,13.27,7201.015,9645.661,0,0
6413,445.23,13.09,14403.741,9779.44,0,0
9613,439.09,12.89,21893.098,9927.96,0,0
12813,431.79,12.64,29674.011,10125.843,0,0
19213,419.55,12.25,45793.837,10451.477,0,0
24013,410.95,11.95,58432.775,10713.902,0,0
32013,395.32,11.51,80979.232,11119.69,0,0
64013,346.74,9.77,184616.148,13099.653,0,0
95013,309.41,8.6,307081.667,14881.937,0,0
128013,277.2,7.62,461810.066,16796.29,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
