context,pp_toks,tg_toks,pp_ms,tg_ms,cpu_pct,ram_mb
10,72.25,13.5,138.408,9480.703,0,0
3213,438.39,13.23,7329.079,9671.398,0,0
6413,444.34,13.05,14432.571,9811.436,0,0
9613,439.55,12.85,21870.227,9960.137,0,0
12813,434.9,12.6,29462.051,10159.577,0,0
19213,423.52,12.21,45364.558,10485.405,0,0
24013,415.39,11.91,57808.51,10749.664,0,0
32013,401.18,11.47,79797.172,11155.839,0,0
64013,354.59,9.75,180525.738,13123.901,0,0
95013,318.2,8.59,298598.555,14909.288,0,0
128013,286.49,7.57,446830.177,16913.077,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
