context,pp_toks,tg_toks,pp_ms,tg_ms,cpu_pct,ram_mb
10,128.89,52.24,77.586,2373.826,0,0
3213,733.11,51.79,4382.671,2471.399,0,0
6413,754.06,50.5,8504.664,2534.815,0,0
9613,760.95,49.81,12632.812,2569.66,0,0
12813,758.98,48.69,16881.837,2628.902,0,0
19213,748.86,50.54,25656.246,158.288,0,0
24013,738.35,49.88,32522.63,160.37,0,0
32013,719.85,47.12,44471.756,169.786,0,0
64013,655.01,39.35,97728.953,203.293,0,0
95013,603.22,33.87,157510.491,236.181,0,0
128013,559.52,29.54,228790.372,270.844,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
