timestamp,gpu,host_bus,current_speed_gtps,current_width,phase
1788662252.371383052,gt1030,02:00.0,2.5,4,idle
1788662252.371383052,gtx1050,07:00.0,2.5,4,idle
1788662252.877170378,gt1030,02:00.0,2.5,4,idle
1788662252.877170378,gtx1050,07:00.0,2.5,4,idle
1788662253.383489081,gt1030,02:00.0,2.5,4,idle
1788662253.383489081,gtx1050,07:00.0,2.5,4,idle
1788662253.889653663,gt1030,02:00.0,2.5,4,idle
1788662253.889653663,gtx1050,07:00.0,2.5,4,idle
1788662254.396173614,gt1030,02:00.0,2.5,4,idle
1788662254.396173614,gtx1050,07:00.0,2.5,4,idle
1788662254.902730330,gt1030,02:00.0,2.5,4,idle
1788662254.902730330,gtx1050,07:00.0,2.5,4,idle
1788662255.411312624,gt1030,02:00.0,2.5,4,asr_load
1788662255.411312624,gtx1050,07:00.0,2.5,4,asr_load
1788662255.919471479,gt1030,02:00.0,2.5,4,asr_load
1788662255.919471479,gtx1050,07:00.0,2.5,4,asr_load
1788662256.426072963,gt1030,02:00.0,2.5,4,asr_load
1788662256.426072963,gtx1050,07:00.0,2.5,4,asr_load
1788662256.932758087,gt1030,02:00.0,2.5,4,asr_load
1788662256.932758087,gtx1050,07:00.0,2.5,4,asr_load
1788662257.439597980,gt1030,02:00.0,2.5,4,asr_load
1788662257.439597980,gtx1050,07:00.0,2.5,4,asr_load
1788662257.946287288,gt1030,02:00.0,2.5,4,asr_load
1788662257.946287288,gtx1050,07:00.0,2.5,4,asr_load
1788662258.452539866,gt1030,02:00.0,2.5,4,asr_load
1788662258.452539866,gtx1050,07:00.0,2.5,4,asr_load
1788662258.959323306,gt1030,02:00.0,2.5,4,asr_load
1788662258.959323306,gtx1050,07:00.0,2.5,4,asr_load
1788662259.466031744,gt1030,02:00.0,2.5,4,asr_load
1788662259.466031744,gtx1050,07:00.0,2.5,4,asr_load
1788662259.972576463,gt1030,02:00.0,2.5,4,asr_load
1788662259.972576463,gtx1050,07:00.0,8.0,4,asr_load
1788662260.479140669,gt1030,02:00.0,2.5,4,asr_load
1788662260.479140669,gtx1050,07:00.0,8.0,4,asr_load
1788662260.985649533,gt1030,02:00.0,2.5,4,asr_load
1788662260.985649533,gtx1050,07:00.0,8.0,4,asr_load
1788662261.492488698,gt1030,02:00.0,2.5,4,asr_load
1788662261.492488698,gtx1050,07:00.0,8.0,4,asr_load
1788662261.999026041,gt1030,02:00.0,2.5,4,asr_load
1788662261.999026041,gtx1050,07:00.0,8.0,4,asr_load
1788662262.505797669,gt1030,02:00.0,2.5,4,asr_load
1788662262.505797669,gtx1050,07:00.0,8.0,4,asr_load
1788662263.012891329,gt1030,02:00.0,2.5,4,asr_load
1788662263.012891329,gtx1050,07:00.0,8.0,4,asr_load
1788662263.519887744,gt1030,02:00.0,2.5,4,asr_load
1788662263.519887744,gtx1050,07:00.0,8.0,4,asr_load
1788662264.026715330,gt1030,02:00.0,2.5,4,asr_load
1788662264.026715330,gtx1050,07:00.0,8.0,4,asr_load
1788662264.533707534,gt1030,02:00.0,2.5,4,asr_load
1788662264.533707534,gtx1050,07:00.0,8.0,4,asr_load
1788662265.040711632,gt1030,02:00.0,2.5,4,asr_load
1788662265.040711632,gtx1050,07:00.0,8.0,4,asr_load
1788662265.546785331,gt1030,02:00.0,2.5,4,asr_load
1788662265.546785331,gtx1050,07:00.0,8.0,4,asr_load
1788662266.053538903,gt1030,02:00.0,2.5,4,asr_load
1788662266.053538903,gtx1050,07:00.0,8.0,4,asr_load
1788662266.561066079,gt1030,02:00.0,2.5,4,asr_load
1788662266.561066079,gtx1050,07:00.0,8.0,4,asr_load
1788662267.067389564,gt1030,02:00.0,2.5,4,asr_load
1788662267.067389564,gtx1050,07:00.0,8.0,4,asr_load
1788662267.573761670,gt1030,02:00.0,2.5,4,asr_load
1788662267.573761670,gtx1050,07:00.0,8.0,4,asr_load
1788662268.080082001,gt1030,02:00.0,2.5,4,asr_load
1788662268.080082001,gtx1050,07:00.0,8.0,4,asr_load
1788662268.586200099,gt1030,02:00.0,2.5,4,idle
1788662268.586200099,gtx1050,07:00.0,8.0,4,idle
